split	family	scenario	root	regime	center_distance	family_code	expert	budget	attempt_wall_us	accepted	execution_failure	gate_mismatch	terminal_wall_us
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-low-v1	2	105.708	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-low-v1	3	105.75	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-low-v1	4	105.75	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-middle-v1	0	51.498999999999995	0	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-middle-v1	2	122.999	0	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-middle-v1	3	157.708	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-middle-v1	4	158	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-high-v1	0	51.542000000000002	0	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-high-v1	2	123.00000000000003	0	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-high-v1	3	158.167	1	0	0	153.5
training	ConditionedQuadratic	10	1.769047619047619	0.16015625	0.33984375	0	conditioned-high-v1	4	157.5	1	0	0	153.5
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-low-v1	0	36.915999999999997	0	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-low-v1	2	106.083	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-low-v1	3	106.959	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-low-v1	4	105.958	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-middle-v1	0	56.125	0	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-middle-v1	2	124.667	0	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-middle-v1	3	157.083	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-middle-v1	4	156.041	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-high-v1	0	51.625	0	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-high-v1	2	122.625	0	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-high-v1	3	156.875	1	0	0	187.542
training	ConditionedQuadratic	11	1.8999999999999999	0.17578125	0.32421875	0	conditioned-high-v1	4	156.792	1	0	0	187.542
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-low-v1	0	37.834000000000003	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-low-v1	2	109.87599999999998	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-low-v1	3	142.625	1	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-low-v1	4	142.25	1	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-middle-v1	0	50.167000000000002	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-middle-v1	2	121.45899999999997	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-middle-v1	3	157.042	1	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-middle-v1	4	156.625	1	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-high-v1	0	51.084000000000003	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-high-v1	2	126.042	0	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-high-v1	3	156.5	1	0	0	152.333
training	ConditionedQuadratic	12	1.269047619047619	0.19140625	0.30859375	0	conditioned-high-v1	4	155.833	1	0	0	152.333
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-low-v1	0	37.709000000000003	0	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-low-v1	2	109.583	0	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-low-v1	3	144.666	1	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-low-v1	4	142.875	1	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-middle-v1	0	49.25	0	0	0	153.583
training	ConditionedQuadratic	13	1.3999999999999999	0.20703125	0.29296875	0	conditioned-middle-v1	2	122.374	0	0	0	153.583
