split	matrix	request	repetition	schedule_position	attempt_index	backend	budget	executed_iterations	status	wall_us	residual_inf
training	crystm01	random-like-tol10	2	6	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2127.75	3.1160733020984962e-12
training	crystm01	random-like-tol10	2	6	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	186.916	3.1160733020984962e-12
training	crystm01	random-like-tol10	2	6	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	72163.167000000001	9.289626019882635e-27
training	crystm01	random-like-tol10	3	7	0	pcg-ic0-cpu-v1	250	0	gate-rejected	2297	3.1160733020984962e-12
training	crystm01	random-like-tol10	3	7	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	136.417	3.1160733020984962e-12
training	crystm01	random-like-tol10	3	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	40776	9.289626019882635e-27
training	crystm01	random-like-tol10	4	2	0	pcg-ic0-cpu-v1	250	0	gate-rejected	3510	3.1160733020984962e-12
training	crystm01	random-like-tol10	4	2	1	pcg-jacobi-cpu-v1	250	0	gate-rejected	143.292	3.1160733020984962e-12
training	crystm01	random-like-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	50562.457999999999	9.289626019882635e-27
training	bfwb398	smooth-tol6	0	11	0	gmres-ilut-cpu-v1	250	1	gate-rejected	2789.7919999999999	3.0800002944178555e-07
training	bfwb398	smooth-tol6	0	11	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	121.833	1.6721239711339298e-07
training	bfwb398	smooth-tol6	0	11	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	1093.8330000000001	2.7105054312137611e-20
training	bfwb398	smooth-tol6	1	3	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3061.5419999999999	3.0800002944178555e-07
training	bfwb398	smooth-tol6	1	3	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	82.959000000000003	1.6721239711339298e-07
training	bfwb398	smooth-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	557.125	2.7105054312137611e-20
training	bfwb398	smooth-tol6	2	7	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3366.2089999999998	3.0800002944178555e-07
training	bfwb398	smooth-tol6	2	7	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	148.083	1.6721239711339298e-07
training	bfwb398	smooth-tol6	2	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	654.08399999999995	2.7105054312137611e-20
training	bfwb398	smooth-tol6	3	8	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3567.6660000000002	3.0800002944178555e-07
training	bfwb398	smooth-tol6	3	8	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	103.208	1.6721239711339298e-07
training	bfwb398	smooth-tol6	3	8	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	599.08299999999997	2.7105054312137611e-20
training	bfwb398	smooth-tol6	4	2	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3921.1669999999999	3.0800002944178555e-07
training	bfwb398	smooth-tol6	4	2	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	98.167000000000002	1.6721239711339298e-07
training	bfwb398	smooth-tol6	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	1154.0419999999999	2.7105054312137611e-20
training	bfwb398	smooth-tol10	0	11	0	gmres-ilut-cpu-v1	250	3	gate-rejected	2746.0419999999999	9.2865175659452397e-12
training	bfwb398	smooth-tol10	0	11	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	122.916	6.7676515162328615e-12
training	bfwb398	smooth-tol10	0	11	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	594.58399999999995	2.7105054312137611e-20
training	bfwb398	smooth-tol10	1	3	0	gmres-ilut-cpu-v1	250	3	gate-rejected	6489.9170000000004	9.2865175659452397e-12
training	bfwb398	smooth-tol10	1	3	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	278.25	6.7676515162328615e-12
training	bfwb398	smooth-tol10	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	874.29200000000003	2.7105054312137611e-20
training	bfwb398	smooth-tol10	2	7	0	gmres-ilut-cpu-v1	250	3	gate-rejected	2864.9169999999999	9.2865175659452397e-12
training	bfwb398	smooth-tol10	2	7	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	121.875	6.7676515162328615e-12
training	bfwb398	smooth-tol10	2	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	909.79200000000003	2.7105054312137611e-20
training	bfwb398	smooth-tol10	3	8	0	gmres-ilut-cpu-v1	250	3	gate-rejected	3537.7919999999999	9.2865175659452397e-12
training	bfwb398	smooth-tol10	3	8	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	193.5	6.7676515162328615e-12
training	bfwb398	smooth-tol10	3	8	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	709.79200000000003	2.7105054312137611e-20
training	bfwb398	smooth-tol10	4	2	0	gmres-ilut-cpu-v1	250	3	gate-rejected	2732.75	9.2865175659452397e-12
training	bfwb398	smooth-tol10	4	2	1	gmres-ilu0-cpu-v1	250	6	gate-rejected	123.5	6.7676515162328615e-12
training	bfwb398	smooth-tol10	4	2	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	598.875	2.7105054312137611e-20
training	bfwb398	oscillatory-tol6	0	11	0	gmres-ilut-cpu-v1	250	1	gate-rejected	4095.875	2.8968103762049704e-07
training	bfwb398	oscillatory-tol6	0	11	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	131.917	2.9679377132882308e-07
training	bfwb398	oscillatory-tol6	0	11	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	737.79100000000005	2.3716922523120409e-20
training	bfwb398	oscillatory-tol6	1	3	0	gmres-ilut-cpu-v1	250	1	gate-rejected	2666.4589999999998	2.8968103762049704e-07
training	bfwb398	oscillatory-tol6	1	3	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	164.416	2.9679377132882308e-07
training	bfwb398	oscillatory-tol6	1	3	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	640.54100000000005	2.3716922523120409e-20
training	bfwb398	oscillatory-tol6	2	7	0	gmres-ilut-cpu-v1	250	1	gate-rejected	5268.2089999999998	2.8968103762049704e-07
training	bfwb398	oscillatory-tol6	2	7	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	92.917000000000002	2.9679377132882308e-07
training	bfwb398	oscillatory-tol6	2	7	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	938.875	2.3716922523120409e-20
training	bfwb398	oscillatory-tol6	3	8	0	gmres-ilut-cpu-v1	250	1	gate-rejected	5276.4589999999998	2.8968103762049704e-07
training	bfwb398	oscillatory-tol6	3	8	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	166.542	2.9679377132882308e-07
training	bfwb398	oscillatory-tol6	3	8	2	accelerate-sparse-qr-cpu-v1	0	0	accepted	775.45799999999997	2.3716922523120409e-20
training	bfwb398	oscillatory-tol6	4	2	0	gmres-ilut-cpu-v1	250	1	gate-rejected	3297.625	2.8968103762049704e-07
training	bfwb398	oscillatory-tol6	4	2	1	gmres-ilu0-cpu-v1	250	2	gate-rejected	97.790999999999997	2.9679377132882308e-07
